payment_final_amount,payment_method_id,payment_created_at
640.00,3,2025-06-01 05:24:10
2176.00,1,2025-06-01 03:24:57
2016.00,3,2025-06-01 03:24:58
1376.00,3,2025-06-01 03:25:00
1536.00,1,2025-06-01 03:25:03
1312.00,2,2025-06-01 03:25:04
768.00,5,2025-06-01 03:25:06
1184.00,2,2025-06-01 03:25:08
1088.00,4,2025-06-01 03:25:11
2096.00,5,2025-06-01 03:25:12
1664.00,2,2025-06-01 03:25:14
304.00,4,2025-06-01 03:25:16
384.00,2,2025-06-01 03:25:17
1904.00,5,2025-06-01 03:25:18
1216.00,2,2025-06-01 03:25:19
1248.00,3,2025-06-01 03:25:20
1344.00,4,2025-06-01 03:25:23
1568.00,3,2025-06-01 03:25:24
1632.00,1,2025-06-01 03:25:25
544.00,3,2025-06-01 03:25:26
1408.00,2,2025-06-01 03:25:28
1184.00,2,2025-06-01 03:25:30
640.00,1,2025-06-01 03:25:32
256.00,2,2025-06-01 03:25:33
1968.00,4,2025-06-01 03:25:34
1728.00,2,2025-06-01 03:25:36
960.00,5,2025-06-01 03:25:37
768.00,2,2025-06-01 03:25:38
1728.00,4,2025-06-01 03:25:39
1488.00,4,2025-06-01 03:25:40
192.00,4,2025-06-01 03:25:41
2448.00,4,2025-06-01 03:25:42
2016.00,2,2025-06-01 03:25:43
384.00,4,2025-06-01 03:25:44
608.00,3,2025-06-01 03:25:45
2304.00,5,2025-06-01 03:25:46
768.00,1,2025-06-01 03:25:47
1536.00,2,2025-06-01 03:25:48
1856.00,3,2025-06-01 03:25:49
1024.00,5,2025-06-01 03:25:52
1152.00,3,2025-06-01 03:25:54
864.00,4,2025-06-01 03:25:55
192.00,3,2025-06-01 03:25:59
512.00,3,2025-06-01 03:26:02
1760.00,1,2025-06-01 03:26:05
2176.00,3,2025-06-01 03:26:06
1136.00,4,2025-06-01 03:26:07
2016.00,3,2025-06-01 03:26:10
864.00,2,2025-06-01 03:26:12
576.00,2,2025-06-01 03:26:14
256.00,4,2025-06-01 03:26:16
480.00,2,2025-06-01 03:26:18
896.00,1,2025-06-01 03:26:24
1472.00,5,2025-06-01 03:26:26
2000.00,2,2025-06-01 03:26:28
1440.00,3,2025-06-01 03:26:29
576.00,5,2025-06-01 03:26:31
1472.00,2,2025-06-01 03:26:34
1440.00,4,2025-06-01 03:26:35
384.00,2,2025-06-01 03:26:37
1312.00,3,2025-06-01 03:26:39
1152.00,4,2025-06-01 03:26:40
